scenario,total_orders,total_multiline_orders,total_singleline_orders,total_singleline_multiunit_orders,total_split_orders,total_multiline_split_orders,total_packages,total_excess_packages,p_multiline_orders,p_multiline_orders_split,p_orders_split,p_singleline_multi_unit_orders,lines_per_order,packages_per_order,units_per_order,units_per_package,total_lines,total_units,p_fc_dvs_split_orders,p_fc_store_split_orders,p_store_dvs_split_orders,p_store_store_split_orders,p_fc_store_dvs_split_orders,p_fc_fc_split_orders,p_dvs_dvs_split_orders,p_single_node_split_orders,p_no_node_all_orders,total_fc_dvs_split_orders,total_fc_store_split_orders,total_store_dvs_split_orders,total_store_store_split_orders,total_fc_store_dvs_split_orders,total_fc_fc_split_orders,total_dvs_dvs_split_orders,total_single_node_split_orders,total_no_node_all_orders,fc_packages,str_packages,dvs_packages,average_package_weight,fc_average_weight,str_average_weight,dvs_average_weight,overall_average_zone,fc_average_zone,str_average_zone,dvs_average_zone,average_shipcost,fc_average_shipcost,str_average_shipcost,dvs_average_shipcost,total_package_weight,fc_package_weight,str_package_weight,dvs_package_weight,total_package_zone,fc_package_zone,str_package_zone,dvs_package_zone,total_shipcost,fc_shipcost,str_shipcost,dvs_shipcost,fc_units,str_units,dvs_units,pkg_edd_miss
Mechmax,2874049,1531851,1342198,217743,817114,817114,4011106,1137057,53.3,53.34,28.43,7.58,2.76,1.4,3.4,2.44,7941577,9779598,0,59.98,0,34.59,0,5.43,0,0,0.43,0,490109,0,282651,0,44354,0,0,12475,1118763,2892343,0,4.72,5.73,4.33,0,3.97,6.95,2.82,0,5.21,5.91,4.94,0,18919865.59,6407658.63,12512206.96,0,15938298,7774022,8164276,0,20898917.95,6610470.179,14288447.77,0,2161634,7617964,0,217978
Uncap,2874049,1531867,1342182,217726,816543,816543,4009416,1135367,53.3,53.3,28.41,7.58,2.76,1.4,3.4,2.44,7941591,9779589,0,59.87,0,34.92,0,5.21,0,0,0.43,0,488889,0,285107,0,42547,0,0,12472,1093685,2915731,0,4.72,5.83,4.3,0,3.97,7.04,2.82,0,5.21,5.94,4.94,0,18919860.84,6376434.99,12543425.85,0,15930136,7697512,8232624,0,20890914.72,6496618.317,14394296.4,0,2132703,7646886,0,216231
Default,2874049,1530638,1343411,217024,840953,840953,4095663,1221614,53.26,54.94,29.26,7.55,2.76,1.43,3.4,2.38,7933231,9766948,0,58.66,0,36.19,0,5.15,0,0,0.56,0,493316,0,304315,0,43322,0,0,16082,1115233,2980430,0,4.61,5.74,4.19,0,3.99,6.9,2.9,0,5.23,5.9,4.98,0,18900076.28,6403719.367,12496356.91,0,16343265,7690911,8652354,0,21430772.2,6574612.997,14856159.21,0,2148645,7618303,0,473770
