scenario,crte_d,total_orders,total_multiline_orders,total_singleline_orders,total_singleline_multiunit_orders,total_split_orders,total_multiline_split_orders,total_packages,total_excess_packages,p_multiline_orders,p_multiline_orders_split,p_orders_split,p_singleline_multi_unit_orders,lines_per_order,packages_per_order,units_per_order,units_per_package,total_lines,total_units,p_fc_dvs_split_orders,p_fc_store_split_orders,p_store_dvs_split_orders,p_store_store_split_orders,p_fc_store_dvs_split_orders,p_fc_fc_split_orders,p_dvs_dvs_split_orders,p_single_node_split_orders,p_no_node_all_orders,total_fc_dvs_split_orders,total_fc_store_split_orders,total_store_dvs_split_orders,total_store_store_split_orders,total_fc_store_dvs_split_orders,total_fc_fc_split_orders,total_dvs_dvs_split_orders,total_single_node_split_orders,total_no_node_all_orders,fc_packages,str_packages,dvs_packages,average_package_weight,fc_average_weight,str_average_weight,dvs_average_weight,overall_average_zone,fc_average_zone,str_average_zone,dvs_average_zone,average_shipcost,fc_average_shipcost,str_average_shipcost,dvs_average_shipcost,total_package_weight,fc_package_weight,str_package_weight,dvs_package_weight,total_package_zone,fc_package_zone,str_package_zone,dvs_package_zone,total_shipcost,fc_shipcost,str_shipcost,dvs_shipcost,fc_units,str_units,dvs_units,pkg_edd_miss,p_pkg_edd_miss,p_delta_shipcost
Mechmax,18/05/22,406281,216656,189625,30510,120113,120113,577070,170789,53.33,55.44,29.56,7.51,2.76,1.42,3.43,2.41,1122317,1391735,0,58.03,0,36.91,0,5.06,0,0,0.46,0,69704,0,44332,0,6077,0,0,1877,154549,422521,0,4.57,5.56,4.21,0,3.86,6.94,2.73,0,5.16,6.05,4.84,0,2639538.136,859389.3374,1780148.799,0,2227868,1072354,1155514,0,2979963.058,935515.1294,2044447.929,0,299648,1092087,0,50519,8.754,-2.408
Mechmax,19/05/22,369064,192959,176105,30417,100482,100482,508127,139063,52.28,52.07,27.23,8.24,2.69,1.38,3.35,2.43,991224,1236663,0,60.45,0,33.7,0,5.86,0,0,0.38,0,60738,0,33859,0,5885,0,0,1385,152774,355353,0,5.1,5.91,4.76,0,4.05,6.87,2.84,0,5.37,6.12,5.05,0,2592411.799,902602.3932,1689809.405,0,2059225,1049003,1010222,0,2730214.048,934316.3922,1795897.656,0,291908,944755,0,22896,4.506,-1.171
Mechmax,20/05/22,327992,171389,156603,26039,81991,81991,435443,107451,52.25,47.84,25,7.94,2.69,1.33,3.35,2.52,881732,1097466,0,65.24,0,28.3,0,6.46,0,0,0.52,0,53488,0,23204,0,5299,0,0,1693,127477,307966,0,5.43,7.15,4.72,0,4.28,7.4,2.99,0,5.51,6.3,5.19,0,2366452.261,911864.312,1454587.949,0,1865755,943880,921875,0,2400837.412,803199.6255,1597637.787,0,247996,849470,0,10101,2.32,-0.429
Mechmax,21/05/22,350523,191097,159426,27275,90561,90561,469590,119067,54.52,47.39,25.84,7.78,2.79,1.34,3.44,2.57,977355,1206274,0,65.14,0,28.5,0,6.35,0,0,0.29,0,58993,0,25814,0,5754,0,0,1024,138051,331539,0,4.9,5.98,4.46,0,4.23,7.04,3.06,0,5.34,5.85,5.13,0,2302369.235,825316.7339,1477052.501,0,1987600,972113,1015487,0,2507315.102,808047.562,1699267.54,0,266717,939557,0,3209,0.683,-0.826
Default,15/05/22,496262,277218,219044,33622,166612,166612,746062,249800,55.86,60.1,33.57,6.78,2.91,1.5,3.49,2.32,1441969,1733484,0,57.18,0,37.93,0,4.89,0,0,0.5,0,95266,0,63204,0,8142,0,0,2484,203902,542160,0,4.16,5.05,3.83,0,3.93,6.7,2.89,0,5.04,5.5,4.87,0,3106136.409,1029028.846,2077107.563,0,2933886,1365786,1568100,0,3762588.13,1121572.582,2641015.548,0,390039,1343445,0,52971,7.1,0
Default,16/05/22,486146,254996,231150,36127,145469,145469,704538,218392,52.45,57.05,29.92,7.43,2.74,1.45,3.36,2.32,1330928,1633361,0,55.86,0,39.77,0,4.37,0,0,0.77,0,81266,0,57846,0,6357,0,0,3747,176778,527760,0,4.33,5.43,3.97,0,3.86,6.92,2.83,0,5.14,5.81,4.92,0,3053780.389,959401.9424,2094378.447,0,2718846,1223771,1495075,0,3624431.217,1027290.213,2597141.005,0,337389,1295972,0,130952,18.587,0
Default,17/05/22,437781,226564,211217,33387,127019,127019,629575,191794,51.75,56.06,29.01,7.63,2.72,1.44,3.36,2.34,1189385,1471338,0,57.06,0,38.27,0,4.67,0,0,0.59,0,72483,0,48609,0,5927,0,0,2575,163310,466265,0,4.52,5.57,4.15,0,3.87,6.84,2.83,0,5.22,5.94,4.97,0,2846141.69,909492.0332,1936649.657,0,2435550,1117251,1318299,0,3288302.781,969314.0922,2318988.689,0,310811,1160527,0,130922,20.795,0
Default,18/05/22,406281,216569,189712,30360,121300,121300,585312,179031,53.31,56.01,29.86,7.47,2.76,1.44,3.42,2.38,1121700,1390512,0,57.79,0,37.18,0,5.02,0,0,0.58,0,70101,0,45105,0,6094,0,0,2376,155141,430171,0,4.51,5.58,4.12,0,3.92,6.85,2.86,0,5.22,6.01,4.93,0,2636906.133,864998.0804,1771908.052,0,2292666,1062790,1229876,0,3053493.358,931660.8763,2121832.482,0,303346,1087166,0,93753,16.018,0
Default,19/05/22,369064,192890,176174,30341,102276,102276,514019,144955,52.26,53.02,27.71,8.22,2.68,1.39,3.35,2.4,990707,1235743,0,59.7,0,34.6,0,5.7,0,0,0.48,0,61060,0,35384,0,5832,0,0,1757,152244,361775,0,5.04,5.94,4.66,0,4.07,6.78,2.93,0,5.37,6.07,5.08,0,2590852.066,904687.5338,1686164.532,0,2093182,1032607,1060575,0,2762574.789,923949.1159,1838625.673,0,292543,943200,0,43405,8.444,0
Default,20/05/22,327992,171333,156659,25979,83627,83627,438926,110934,52.24,48.81,25.5,7.92,2.69,1.34,3.34,2.5,881320,1096777,0,64.21,0,29.48,0,6.31,0,0,0.59,0,53693,0,24655,0,5279,0,0,1943,126675,312251,0,5.39,7.2,4.65,0,4.27,7.36,3.02,0,5.49,6.29,5.17,0,2364981.657,911920.796,1453060.861,0,1876370,931823,944547,0,2411171.683,797161.3072,1614010.376,0,248292,848485,0,17424,3.97,0
Default,21/05/22,350523,191068,159455,27208,94650,94650,477231,126708,54.51,49.54,27,7.76,2.79,1.36,3.44,2.53,977222,1205733,0,62.81,0,31.18,0,6.01,0,0,0.34,0,59447,0,29512,0,5691,0,0,1200,137183,340048,0,4.82,6.01,4.34,0,4.18,6.98,3.05,0,5.3,5.86,5.07,0,2301277.934,824190.1355,1477087.798,0,1992765,956883,1035882,0,2528210.245,803664.8115,1724545.434,0,266225,939508,0,5826,1.221,0
